layer,alpha,mean_d_loss,std_d_loss,mean_mean_logit_delta,std_mean_logit_delta,mean_kl_avg,std_kl_avg,mean_firing_rate,std_firing_rate,mean_mean_act,std_mean_act,max_max_act
8,4.0,0.3570448970794678,0.0002615152504232992,-0.9637827754020691,0.0004554176518001434,0.30741813570261,0.00035731255432780684,0.20159156881505624,0.4463324683841778,0.016399148596901798,0.02058518340815097,9.423678636550903
9,0.0,0.32921537876129153,9.356652008657571e-06,-0.9193871772289276,0.00014364967425666697,0.29830654829740527,1.1972750237487655e-05,0.20047894994670062,0.44694694594073525,0.0029481245756323915,0.00554245014623313,2.8897635340690613
9,0.5,0.3292158794403076,4.666260310093651e-06,-0.9193539953231811,6.940149873164043e-05,0.2983043456077576,5.3918267439980995e-06,0.20047894994670062,0.44694694594073525,0.0029481245756323915,0.00554245014623313,2.8897635340690613
9,1.0,0.32921757698059084,0.0,-0.9193234205245971,0.0,0.29830303192138674,0.0,0.20047894994670062,0.44694694594073525,0.0029481245756323915,0.00554245014623313,2.8897635340690613
9,2.0,0.3292239570617676,1.0724829879463496e-05,-0.9192704105377197,0.00012310869483939213,0.29830283522605894,8.109312959820885e-06,0.20047894994670062,0.44694694594073525,0.0029481245756323915,0.00554245014623313,2.8897635340690613
9,4.0,0.32924699306488037,4.176806495551799e-05,-0.9191944944858552,0.00030907618459327587,0.2983113887906075,1.99448344919864e-05,0.20047894994670062,0.44694694594073525,0.0029481245756323915,0.00554245014623313,2.8897635340690613
10,0.0,0.41607063770294184,4.733609687029036e-05,-0.7809944474697114,0.0001301816347468537,0.3521256130933762,3.070434416964699e-05,0.2002635217126226,0.447066379833831,0.014847796441172251,0.01871957014336144,32.611318588256836
10,0.5,0.4160430431365967,2.6445021877836086e-05,-0.7809382283687591,4.9985862507623276e-05,0.3521075874567032,5.028338059011275e-06,0.2002635217126226,0.447066379833831,0.014847796441172251,0.01871957014336144,32.611318588256836
10,1.0,0.4160163402557373,0.0,-0.7809069812297821,0.0,0.352102717757225,0.0,0.2002635217126226,0.447066379833831,0.014847796441172251,0.01871957014336144,32.611318588256836
10,2.0,0.415959062576294,7.604974654486196e-05,-0.7808474349975586,9.468164646905674e-05,0.35211109697818754,1.971038597757893e-05,0.2002635217126226,0.447066379833831,0.014847796441172251,0.01871957014336144,32.611318588256836
10,4.0,0.4159364032745361,0.00011428476075660054,-0.7807211077213287,0.00024683282732797885,0.35218612253665926,0.00015895320339982293,0.2002635217126226,0.447066379833831,0.014847796441172251,0.01871957014336144,32.611318588256836
11,0.0,0.4314858865737915,2.6949845283621332e-05,-0.6255199366807938,3.885543665297337e-05,0.36779473662376405,4.987134110103012e-06,0.6000279765157029,0.5476842513162787,0.0017384796705664483,0.002457402968474756,9.077948436141014
11,0.5,0.43148663520812985,1.2945617310866418e-05,-0.6255000728368759,1.6796955421018467e-05,0.3677923488616943,1.855814568786204e-06,0.6000279765157029,0.5476842513162787,0.0017384796705664483,0.002457402968474756,9.077948436141014
11,1.0,0.4314889430999756,0.0,-0.6254839450120926,0.0,0.3677913576364517,0.0,0.6000279765157029,0.5476842513162787,0.0017384796705664483,0.002457402968474756,9.077948436141014
11,2.0,0.43149590015411377,2.4539587099624596e-05,-0.6254587405920029,2.46721644248124e-05,0.36779209196567536,4.359379262797791e-06,0.6000279765157029,0.5476842513162787,0.0017384796705664483,0.002457402968474756,9.077948436141014
11,4.0,0.4315129518508911,7.091688396065033e-05,-0.6254209989309312,6.0088232955560906e-05,0.36779947876930236,1.8518358585825243e-05,0.6000279765157029,0.5476842513162787,0.0017384796705664483,0.002457402968474756,9.077948436141014
