layer,alpha,mean_d_loss,std_d_loss,mean_mean_logit_delta,std_mean_logit_delta,mean_kl_avg,std_kl_avg,mean_firing_rate,std_firing_rate,mean_mean_act,std_mean_act,max_max_act
0,0.0,0.7222777795791626,2.806640586671234e-05,-2.1420352947711945,3.9627496734674876e-05,0.7617533612251282,2.2108561115186076e-05,0.4008012566989055,0.5469933276702017,0.0002914743692849697,0.0006247157384221452,0.10319104492664337
0,0.5,0.7222785520553588,1.4040712831227911e-05,-2.1420467925071716,1.944688492681298e-05,0.7617557626962662,1.1017388871404538e-05,0.4008012566989055,0.5469933276702017,0.0002914743692849697,0.0006247157384221452,0.10319104492664337
0,1.0,0.7222790956497193,0.0,-2.1420584499835966,0.0,0.7617578357458115,0.0,0.4008012566989055,0.5469933276702017,0.0002914743692849697,0.0006247157384221452,0.10319104492664337
0,2.0,0.7222792100906372,2.7457221824416574e-05,-2.1420817697048187,3.692990505077275e-05,0.7617612433433533,2.1753421225321516e-05,0.4008012566989055,0.5469933276702017,0.0002914743692849697,0.0006247157384221452,0.10319104492664337
0,4.0,0.7222820234298706,7.582661880964006e-05,-2.1421267807483675,0.00010464851664017786,0.7617713332176208,5.7421428046814036e-05,0.4008012566989055,0.5469933276702017,0.0002914743692849697,0.0006247157384221452,0.10319104492664337
1,0.0,8.595331926345825,0.00026350880276505736,-10.875850381851198,0.0005099281737198911,8.421500368118286,0.0002307963877541003,0.0014469810330774635,0.0012439203811755585,0.013755257089505904,0.014101279686489877,12.630863970518112
1,0.5,8.595258836746215,0.0002500665757231089,-10.875829811096192,0.000429544757350466,8.421470155715943,0.0002469529868943956,0.0014469810330774635,0.0012439203811755585,0.013755257089505904,0.014101279686489877,12.630863970518112
1,1.0,8.595065259933472,0.0,-10.875678396224975,0.0,8.421262216567992,0.0,0.0014469810330774635,0.0012439203811755585,0.013755257089505904,0.014101279686489877,12.630863970518112
1,2.0,8.594858083724976,0.00018583993517945228,-10.875613250732423,0.00046916137684983053,8.42102144241333,0.0002257761798310456,0.0014469810330774635,0.0012439203811755585,0.013755257089505904,0.014101279686489877,12.630863970518112
1,4.0,8.594314393997191,0.0007701483094738171,-10.875327081680298,0.0016570628032631775,8.420462236404418,0.0008082234080117655,0.0014469810330774635,0.0012439203811755585,0.013755257089505904,0.014101279686489877,12.630863970518112
2,0.0,2.5487784910202023,9.16654171493587e-06,-6.490604848861695,9.561126056496678e-06,2.531079411506653,3.828270427707891e-06,0.800006693440373,0.4471986285122805,0.00011141198519908358,0.00020223377931889938,0.4471916317939758
2,0.5,2.54878035068512,4.819429745055379e-06,-6.490602617263794,4.196112805713585e-06,2.531080174446106,2.0967961826918628e-06,0.800006693440373,0.4471986285122805,0.00011141198519908358,0.00020223377931889938,0.4471916317939758
2,1.0,2.5487823724746703,0.0,-6.4906007766723635,0.0,2.531081032752991,0.0,0.800006693440373,0.4471986285122805,0.00011141198519908358,0.00020223377931889938,0.4471916317939758
2,2.0,2.548786692619324,1.0975316443209929e-05,-6.490598411560059,5.0673455860611004e-06,2.5310830807685853,5.259726763054346e-06,0.800006693440373,0.4471986285122805,0.00011141198519908358,0.00020223377931889938,0.4471916317939758
2,4.0,2.548797001838684,3.881827015549629e-05,-6.4905987739562985,3.49297458108076e-06,2.531088376045227,2.025954072400829e-05,0.800006693440373,0.4471986285122805,0.00011141198519908358,0.00020223377931889938,0.4471916317939758
3,0.0,0.6673742818832398,6.759963501616968e-06,-2.0900549721717834,5.075303827654035e-06,0.6586124593019484,2.52698951082079e-06,0.6000625000009313,0.5476369869994663,0.00018224938627099617,0.0004075220165595644,0.37395283579826355
3,0.5,0.6673757600784301,3.454618571783286e-06,-2.090056042671203,2.6815943541840344e-06,0.6586130052804947,1.3061443674218563e-06,0.6000625000009313,0.5476369869994663,0.00018224938627099617,0.0004075220165595644,0.37395283579826355
